Tags,Platform,Avatar,Channel Name,Username,Channel Url,Location,Subscribers Count,Video count,Description,joined,Views,Email,3 Latest Videos Url,3 Latest Videos Title,3 Latest videos image
Music,Youtube,https://yt3.googleusercontent.com/v_PwNTRdcmpaEU6zh9wytm0ERtq2BOAmBQvr1QyZstphlpcPUqjbX3wqIvSRR9bWIgSjmRUJcwE=s176-c-k-c0x00ffffff-no-rj,T-Series,@tseries,https://www.youtube.com/channel/UCq-Fj5jknLsUf-MWSy4_brA/about,India,240M subscribers,19K,"Description
""Music can change the world"". T-Series is India's largest Music Label & Movie Studio, believes in bringing world close together through its music.
T-Series is associated with music industry from past three decades, having ample catalogue of music comprising plenty of languages that covers the length & breadth of India. We believe after silence, nearest to expressing the inexpressible is Music. So, all the music lovers who believe in magic of music come join us and live the magic of music with T-Series.",13-Mar-06,"221,667,090,784 views",,"['https://www.youtube.com/watch?v=t4qobSw6cVI', 'https://www.youtube.com/watch?v=lvjPeIH1erY', 'https://www.youtube.com/watch?v=G1oguwScV8w']","[""India's Best Dancer Season 03: Har Move Se Karenge Prove | Norbu Vs Sahil by T-Series 2 minutes ago 2 minutes, 40 seconds 8 views"", ""India's Best Dancer Season 03: Har Move Se Karenge Prove | Mega Audition: Liquid Popping by T-Series 12 minutes ago 4 minutes, 36 seconds 290 views"", ""India's Best Dancer Season 03: Har Move Se Karenge Prove | Audition: Semi Classical & Bharatanatyam by T-Series 22 minutes ago 2 minutes, 39 seconds 415 views""]","['https://i.ytimg.com/vi/t4qobSw6cVI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA0YcNi_Xvvgq3VpfCE8iBUqweqrg', 'https://i.ytimg.com/vi/lvjPeIH1erY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAagb3zhjyo4-XkDQ7R9fXwDJmh8g', 'https://i.ytimg.com/vi/G1oguwScV8w/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDxGERg9zt2cL_R50D1podbgRM6kg']"
Entertainment,Youtube,https://yt3.googleusercontent.com/ytc/AGIKgqNw788soXwRu9KmybV4Jjcaa_Q8WBsFR_85AyVzSg=s176-c-k-c0x00ffffff-no-rj,Justin Bieber,@justinbieber,https://www.youtube.com/channel/UCIwFjwMjI0y7PDBVEO9-bkQ/about,Canada,71.3M subscribers,249,"Description
Help change the world. JUSTICE the album out now https://JustinBieber.lnk.to/Justice",16-Jan-07,"30,169,471,933 views",,"['https://www.youtube.com/watch?v=z5AIMF1BjOE', 'https://www.youtube.com/watch?v=_lpSCOZ1PCo', 'https://www.youtube.com/watch?v=ZMH9AMwAk34']","['Drew House TOKYO #shorts by Justin Bieber 5 months ago 42 seconds 642,377 views', 'Justin Bieber X Free Fire - Beautiful Love (Free Fire) [Official Video] by Justin Bieber 7 months ago 3 minutes, 33 seconds 4,849,167 views', ""Justin Bieber, Don Toliver - The Making of 'Honest' (Vevo Footnotes) by JustinBieberVEVO 10 months ago 3 minutes, 32 seconds 3,115,839 views""]","['https://i.ytimg.com/vi/z5AIMF1BjOE/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB-gmAAtAFigIMCAAQARhlIFYoRDAP&rs=AOn4CLAcYXXIndc-71pydcQ0Bh11DJBwpw', 'https://i.ytimg.com/vi/_lpSCOZ1PCo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBe1ewI3UQ0BiO7G4aPOn3sK0CoNA', 'https://i.ytimg.com/vi/ZMH9AMwAk34/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCJTQs5rtXE0IwB-IaK4mhYW-enHw']"
Howto & Style,Youtube,https://yt3.googleusercontent.com/JSxrrMcl7DS16OIotVEqkhmOkhHwv11250OXjFpQyPSU54L2jCCWFithRCgTzv66YwBwmwtxbuE=s176-c-k-c0x00ffffff-no-rj,5-Minute Crafts,@5MinuteCraftsYouTube,https://www.youtube.com/channel/UC295-Dw_tDNtZXFeAPAW6Aw/about,United States,79.7M subscribers,6.1K,"Description
Fun diy-projects, crafts, experience the joy of doing it yourself!
OFFICIAL CHANNEL.

5-MINUTE CRAFTS SHOP: https://linktr.ee/5minutecrafts

For brand partnership enquires: brands@thesoul-publishing.com",15-Nov-16,"25,814,007,719 views",,"['https://www.youtube.com/watch?v=H0QF035QNZs', 'https://www.youtube.com/watch?v=lDJuiVLNY6s', 'https://www.youtube.com/watch?v=euXn--VILY4']","['BEST HOT GLUE CRAFTS || DIY Jewelry And Home Decor Ideas by 5-Minute Crafts 42 minutes ago 15 minutes 6,850 views', 'HOW TO BE A COOL PARENT? Awesome Ways To Entertain Your Kids by 5-Minute Crafts 20 hours ago 15 minutes 71,899 views', 'FANTASTIC DIY JEWELRY IDEAS WITH 3D PEN, GLUE GUN AND OTHER TOOLS by 5-Minute Crafts 1 day ago 15 minutes 66,825 views']","['https://i.ytimg.com/vi/H0QF035QNZs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDDjWKFbWfYt3bcd2q6DBjkmozOTQ', 'https://i.ytimg.com/vi/lDJuiVLNY6s/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBX9l8pF5DlZH2TOYo87QHwPb_i1w', 'https://i.ytimg.com/vi/euXn--VILY4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA8UI2NeWto6f91a17w7hEXeFojqg']"
Sports,Youtube,https://yt3.googleusercontent.com/ytc/AGIKgqMNntfmlRSuvsB4VA2qw81VI8Ya8S1P4N4OXpk2ZOY=s176-c-k-c0x00ffffff-no-rj,WWE,@WWE,https://www.youtube.com/channel/UCJ5v_MCY6GNUBTO8-D3XoAg/about,,94.5M subscribers,68K,"Description
WWE on YouTube is your number one spot to catch WWE original shows and exclusives!

Watch videos from all of your favorite WWE Superstars, backstage fallout from live shows including Raw, SmackDown, NXT and original shows such as Top 10, List This, WWE's The Bump and much more! 

Subscribe - https://goo.gl/2YO0Is

Stream WWE on Peacock https://pck.tv/2PIAQJI in the U.S. and on WWE Network http://wwe.yt/wwenetwork everywhere else.",11-May-07,"75,735,784,735 views",,"['https://www.youtube.com/watch?v=OfL1d9aA_WY', 'https://www.youtube.com/watch?v=KrKF1a5xBFo', 'https://www.youtube.com/watch?v=UyUosV-jkEw']","['Roman Reigns BURIES Big Show: On this day in 2015 by WWE 4 hours ago 46 seconds 27,654 views', 'Josh Briggs & Fallon Henley want Brooks Jensen to get back to normal: NXT Exclusive, April. 25, 2023 by WWE 8 hours ago 53 seconds 19,251 views', 'Indi Hartwell retains the NXT Women°Øs Title: NXT Spring Breakin°Ø highlights, April 25, 2023 by WWE 8 hours ago 3 minutes, 11 seconds 53,590 views']","['https://i.ytimg.com/vi/OfL1d9aA_WY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBST-p1cDdrGVc-Tz3rjO51tC-hmA', 'https://i.ytimg.com/vi/KrKF1a5xBFo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBwL3e1i7tUlooGTfdKHRmfqjLGfQ', 'https://i.ytimg.com/vi/UyUosV-jkEw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAJDiJdX_E7S0RUTNtjJcOCCauVqQ']"
Sports,Youtube,https://yt3.googleusercontent.com/ytc/AGIKgqOrDSQFmqoIOoyEq5RxnZ0_mCCajp3FO7c37ZpgFg=s176-c-k-c0x00ffffff-no-rj,Dude Perfect,@dudeperfect,https://www.youtube.com/channel/UCRijo3ddMTht_IHyNSNXpNQ/about,United States,59.3M subscribers,376,"Description
5 best buds just kickin' it.
If you like Sports + Comedy, come join the Dude Perfect team!",17-Mar-09,"15,907,624,960 views",,"['https://www.youtube.com/watch?v=ZYW2lWLpLuo', 'https://www.youtube.com/watch?v=Ey_vGhau7ho', 'https://www.youtube.com/watch?v=moIuur9GUws']","['Pickleball Trick Shots by Dude Perfect 10 days ago 11 minutes, 18 seconds 3,982,947 views', ""World's Strongest Dude by Dude Perfect 3 weeks ago 13 minutes, 51 seconds 11,402,173 views"", ""World's Brightest Flashlight | OT38 by Dude Perfect 1 month ago 25 minutes 6,950,441 views""]","['https://i.ytimg.com/vi/ZYW2lWLpLuo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDbz8NislQg8THwI-H8qtTc1XU08g', 'https://i.ytimg.com/vi/Ey_vGhau7ho/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDosyme_50GzBr8z1D8O1pr4i7yHw', 'https://i.ytimg.com/vi/moIuur9GUws/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBvhzqoKYCTeVwGroodSXg68fPmEw']"
Music,Youtube,https://yt3.googleusercontent.com/8s2hH6UfSKbED2-UUVgCALU5BXXxvnk2ueNzBaCU-exfeoC9X1OZzDa6uqzI4cOA3ZDqyXjIsg=s176-c-k-c0x00ffffff-no-rj,Katy Perry,@KatyPerry,https://www.youtube.com/channel/UCYvmuw-JtVrTZQ-7Y4kd63Q/about,United States,44.1M subscribers,121,"Description
https://www.katyperry.com/",2-Jun-08,"25,120,210,470 views",,"['https://www.youtube.com/watch?v=Dm7iAWk9aLU', 'https://www.youtube.com/watch?v=d8GuVx--bsk', 'https://www.youtube.com/watch?v=tpbNnXYDwmg']","[""Katy Perry - The Making of 'Cozy Little Christmas' (Vevo Footnotes) by KatyPerryVEVO 4 months ago 3 minutes, 4 seconds 1,017,953 views"", 'Thomas Rhett & Katy Perry - Where We Started | LIVE @ CMA Awards by Katy Perry 5 months ago 3 minutes, 5 seconds 228,685 views', 'Thomas Rhett, Katy Perry - Where We Started (Behind The Stills) by KatyPerryVEVO 5 months ago 3 minutes, 5 seconds 255,967 views']","['https://i.ytimg.com/vi/Dm7iAWk9aLU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDg0NRF1XskvI27n-NRBZ-Cf5pZXA', 'https://i.ytimg.com/vi/d8GuVx--bsk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAkmFC2Jx6_OalQWw76i3EqmRD22g', 'https://i.ytimg.com/vi/tpbNnXYDwmg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBO3bCmHa5JoOQH54bdSUay9wZDwQ']"
Music,Youtube,https://yt3.googleusercontent.com/8IG_vczSZLUYnDvfHFusOMdIFRpPP8xoKX6z2BLoyALI2hep-PrlLjKEp8qnrnOjTDbAF2w4kQ=s176-c-k-c0x00ffffff-no-rj,Taylor Swift,@TaylorSwift,https://www.youtube.com/channel/UCqECaJ8Gagnn7YCbPEzWH6g/about,,51.6M subscribers,211,"Description
I'm the problem, it's me",21-Sep-06,"28,744,084,619 views",,"['https://www.youtube.com/watch?v=anqxTwGE_nQ', 'https://www.youtube.com/watch?v=kE31ShDEOwg', 'https://www.youtube.com/watch?v=nfFujEdM0_E']","['Taylor Swift - Lavender Haze (Acoustic Version) by Taylor Swift 3 weeks ago 3 minutes 856,867 views', 'Taylor Swift - Lavender Haze (Snakehips Remix) by Taylor Swift 1 month ago 3 minutes, 11 seconds 445,437 views', 'Taylor Swift - Lavender Haze (Jungle Remix) by Taylor Swift 1 month ago 3 minutes, 59 seconds 196,207 views']","['https://i.ytimg.com/vi/anqxTwGE_nQ/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhJIEwocjAP&rs=AOn4CLCx7kxqWUov31c76oBZqerUgX4EXQ', 'https://i.ytimg.com/vi/kE31ShDEOwg/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhKIE4ocjAP&rs=AOn4CLAarG0HUQc3V-goUU1W8641nSLSvg', 'https://i.ytimg.com/vi/nfFujEdM0_E/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhDIEkoZTAP&rs=AOn4CLDo8nkDzPbBsUsr9wbsqxI0ZW3MrA']"
Entertainment,Youtube,https://yt3.googleusercontent.com/YU2mwJNyBinBPRQRE4hLHK5zqb1ze5BgrdlFQSINRcYB3Ob-RgZiPWt_jGn8SuYEwovtWT5IB_s=s176-c-k-c0x00ffffff-no-rj,Rihanna,@rihanna,https://www.youtube.com/channel/UCcgqSM4YEo5vVQpqwN-MaNw/about,,41.6M subscribers,83,"Description
It°Øs hard to believe that Rihanna is only 30 years old. Yet within the 10 years since the start of her musical career, she°Øs become the youngest solo artist to score 14 No. 1 singles on the Billboard Hot 100 °™ the fastest to do so °™ she°Øs sold more than 54 million albums and 210 million tracks worldwide.
 
Rihanna is the °∞Best Selling Digital Artist of All Time"" with more than 100 million [RIAA] Gold & Platinum song certifications°± and an eight-time Grammy Award winner who also counts 14 Billboard Music Awards among other countless music accolades.
 
Aside from her musical achievements, Rihanna is a bona fide business woman with multiple entrepreneurial ventures. However, most importantly, her undeniable cultural influence has forever imprinted her in history as a global Icon despite her young age.",7-Nov-05,"21,985,100,000 views",,"['https://www.youtube.com/watch?v=0NZ6A-X6taA', 'https://www.youtube.com/watch?v=k5E6CExu204', 'https://www.youtube.com/watch?v=3n5tK-OpInk']","['Rihanna - Lift Me Up (Live from the Oscars 2023) by Rihanna 1 month ago 2 minutes, 29 seconds 2,592,587 views', 'Rihanna - Born Again (Audio) by RihannaVEVO 5 months ago 3 minutes, 34 seconds 5,351,439 views', 'Rihanna - Born Again (Visualizer) by RihannaVEVO 5 months ago 3 minutes, 34 seconds 906,396 views']","['https://i.ytimg.com/vi/0NZ6A-X6taA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7yeC_r9jjGp46JCkh77nrwbcIDQ', 'https://i.ytimg.com/vi/k5E6CExu204/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAVxLzwEXRte8oNuQCRbfQKuVi9pw', 'https://i.ytimg.com/vi/3n5tK-OpInk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBUpTkpYIxlecLLdhpINNsOTBJvAw']"
Entertainment,Youtube,https://yt3.googleusercontent.com/I0j6g1bOYmGniEtkySB7tmvHxmo5InW1gqGRZJfFT_ErwZbRMKATBkUQyYutEPTB2A-Z2C0Z6w=s176-c-k-c0x00ffffff-no-rj,TheEllenShow,@TheEllenShow,https://www.youtube.com/channel/UCp0hYYBW6IMayGgR-WeoCvQ/about,United States,38.2M subscribers,15K,"Description
The place for laughs, joy, stars, surprises, and everything Ellen.",21-Nov-06,"22,664,656,144 views",,"['https://www.youtube.com/watch?v=29O0pVqztio', 'https://www.youtube.com/watch?v=YTnB1I4LFGA', 'https://www.youtube.com/watch?v=POzcEbtJCq8']","['Every Time Rob Lowe Talked About His Sons on The Ellen Show by TheEllenShow 19 hours ago 10 minutes, 26 seconds 4,512 views', 'Lea Michele Nearly Ran Over Bon Jovi (Season 7) by TheEllenShow 22 hours ago 5 minutes, 25 seconds 7,156 views', 'Samuel L Jackson Guesses The Profession (Season 7) by TheEllenShow 22 hours ago 2 minutes, 50 seconds 2,756 views']","['https://i.ytimg.com/vi/29O0pVqztio/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCptpPKV8E61H8Oa3Hr5RvWo6yWSA', 'https://i.ytimg.com/vi/YTnB1I4LFGA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCDzIa4wKY08jq_1TR2otFiGmEqIw', 'https://i.ytimg.com/vi/POzcEbtJCq8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB9PimgwM3xcCFn9hCMK-OyBWwspQ']"
Music,Youtube,https://yt3.googleusercontent.com/ytc/AGIKgqM8vdWfdRUrvjOpYjODms7q71xJytVXUKEe5iOe6Bk=s176-c-k-c0x00ffffff-no-rj,One Direction,@onedirectionchannel,https://www.youtube.com/channel/UCb2HGwORFBo94DmRx4oLzow/about,,38M subscribers,157,"Description
#10YearsOf1D Listen to your favourite 1D songs here°≠
https://1D.lnk.to/10YearsOf1DPlaylistsAY",3-Dec-10,"13,391,854,928 views",,"['https://www.youtube.com/watch?v=AsmHz9JCU4M', 'https://www.youtube.com/watch?v=AGDlC3VDVCc', 'https://www.youtube.com/watch?v=HBttoBTxkAs']","['One Direction - End of the Day (Audio) by OneDirectionVEVO 2 years ago 3 minutes, 17 seconds 12,957,958 views', 'One Direction - History (Audio) by OneDirectionVEVO 2 years ago 3 minutes, 9 seconds 861,428 views', 'One Direction - A.M. (Audio) by OneDirectionVEVO 2 years ago 3 minutes, 31 seconds 3,763,913 views']","['https://i.ytimg.com/vi/AsmHz9JCU4M/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBDjW0vBhDQ3KWg8qrI-JzbDnkZng', 'https://i.ytimg.com/vi/AGDlC3VDVCc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCbsl8iTZggAk27sUe6_IWzkDibyQ', 'https://i.ytimg.com/vi/HBttoBTxkAs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAgHABEl6WcCvjAyCigI9XRPskL8g']"
